id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2535164685,https://www.vivareal.com.br/imovel/apartamento-2-quartos-palmeiras-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-72m2-aluguel-RS1300-id-2535164685/,"Apartamento com 2 Quartos para Aluguel, 72m²","Rua Raimundo Barbosa Nogueira, 321 - Palmeiras de São José, São José dos Campos - SP",72,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Condomínio fechado
Espaço gourmet
Playground
Salão de jogos
...",R$ 1.300 /mês,R$ 320,São José dos Campos,2021-10-30 14:34
2537801599,https://www.vivareal.com.br/imovel/apartamento-4-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-150m2-aluguel-RS5500-id-2537801599/,"Apartamento com 4 Quartos para Aluguel, 150m²","Rua das Carpas, 70 - Parque Residencial Aquarius, São José dos Campos - SP",150,4 Quartos,4 Banheiros,2 Vagas,"Piscina
Mobiliado
Churrasqueira
Academia
Aceita animais
...",R$ 5.500 /mês,R$ 914,São José dos Campos,2021-10-30 14:34
2530440590,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-78m2-aluguel-RS2200-id-2530440590/,"Apartamento com 2 Quartos para Aluguel, 78m²","Avenida São João, 221 - Jardim Esplanada, São José dos Campos - SP",78,2 Quartos,2 Banheiros,2 Vagas,"Mobiliado
Elevador
Aceita animais
Varanda gourmet
Salão de festas
...",R$ 2.200 /mês,R$ 597,São José dos Campos,2021-10-30 14:34
2531369085,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-75m2-aluguel-RS2300-id-2531369085/,"Apartamento com 3 Quartos para Aluguel, 75m²","Rua Ruivo, 113 - Parque Residencial Aquarius, São José dos Campos - SP",75,3 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Condomínio fechado
Espaço gourmet
Ar-condicionado
...",R$ 2.300 /mês,,São José dos Campos,2021-10-30 14:34
2538232877,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-118m2-aluguel-RS4500-id-2538232877/,"Apartamento com 4 Quartos para Aluguel, 118m²","Rua Laurent Martins, 479 - Jardim Esplanada, São José dos Campos - SP",118,4 Quartos,2 Banheiros,2 Vagas,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",R$ 4.500 /mês,R$ 650,São José dos Campos,2021-10-30 14:34
2539313934,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-76m2-aluguel-RS3000-id-2539313934/,"Apartamento com 3 Quartos para Aluguel, 76m²","Jardim Aquarius, São José dos Campos - SP",76,3 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Varanda
Área de serviço
Playground
...",R$ 3.000 /mês,R$ 355,São José dos Campos,2021-10-30 14:34
2538390474,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-67m2-aluguel-RS2500-id-2538390474/,"Apartamento com 2 Quartos para Aluguel, 67m²","Jardim Aquarius, São José dos Campos - SP",67,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Jardim
Área de serviço
Playground
...",R$ 2.500 /mês,R$ 380,São José dos Campos,2021-10-30 14:34
2539489911,https://www.vivareal.com.br/imovel/apartamento-3-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-78m2-aluguel-RS1900-id-2539489911/,"Apartamento com 3 Quartos para Aluguel, 78m²","Rua da Alegria, 98 - Floradas de São José, São José dos Campos - SP",78,3 Quartos,2 Banheiros,1 Vaga,"Mobiliado
Elevador
Condomínio fechado
Área de serviço
Playground
...",R$ 1.900 /mês,R$ 315,São José dos Campos,2021-10-30 14:34
2533984074,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-75m2-aluguel-RS2300-id-2533984074/,"Apartamento com 2 Quartos para Aluguel, 75m²","Avenida Salmão, 150 - Jardim Aquarius, São José dos Campos - SP",75,2 Quartos,1 Banheiro,2 Vagas,"Piscina
Churrasqueira
Elevador
Varanda
Área de serviço
...",R$ 2.300 /mês,R$ 565,São José dos Campos,2021-10-30 14:34
2537280485,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-85m2-aluguel-RS2000-id-2537280485/,"Apartamento com 3 Quartos para Aluguel, 85m²","Jardim Aquarius, São José dos Campos - SP",85,3 Quartos,2 Banheiros,1 Vaga,"Churrasqueira
Piscina
Armário na cozinha
Sauna
Área de serviço",R$ 2.000 /mês,R$ 467,São José dos Campos,2021-10-30 14:34
